"hc_x","hc_y","next_event_type","event_and_next_event_type","event_description","batter_name","pitcher_name","outs","balls","strikes","hit_trajectory","fld_score","bat_score","post_fld_score","post_bat_score","is_hit_into_play","is_hit_into_play_basehit","bat_side","pitch_hand","sport_id","game_pk","at_bat_number","event_inning","top_inning_sw","game_date"
"85.60","74.10","field_out","field_out","Miguel Vargas flies out to left fielder Torii Hunter.  ","Miguel Vargas","Travis Herrin",0,0,0,"fly_ball",1,0,1,0,1,0,"R","R",13,"576754.00",12,2,"N","2019-08-31"
"73.69","92.37","single","single","Miguel Vargas singles on a ground ball to left fielder Torii Hunter.  ","Miguel Vargas","Travis Herrin",1,1,1,"ground_ball",5,1,5,1,1,1,"R","R",13,"576754.00",32,4,"N","2019-08-31"
"109.43","170.22","field_error","field_error","Miguel Vargas reaches on a fielding error by third baseman Zane Gurwitz.   Miguel Vargas to 2nd.  ","Miguel Vargas","Travis Herrin",1,1,1,"ground_ball",5,1,5,1,1,0,"R","R",13,"576754.00",48,6,"N","2019-08-31"
"111.82","65.37","field_out","field_out","Tre Todd flies out to center fielder Jordyn Adams.  ","Tre Todd","Austin Krzeminski",2,0,0,"fly_ball",5,1,1,5,1,0,"L","R",13,"576754.00",70,9,"N","2019-08-31"
"153.92","172.61","field_out","field_out","Starling Heredia grounds out, first baseman Devin Davis to pitcher Travis Herrin.  ","Starling Heredia","Travis Herrin",2,1,1,"ground_ball",1,0,1,0,1,0,"R","R",13,"576754.00",14,2,"N","2019-08-31"
,,,"strikeout","Miguel Vargas strikes out swinging.  ","Miguel Vargas","Austin Krzeminski",0,2,2,,5,1,5,1,0,0,"R","R",13,"576754.00",67,9,"N","2019-08-31"
,,,"strikeout","Marcus Chiu called out on strikes.  ","Marcus Chiu","Travis Herrin",1,3,2,,5,1,5,1,0,0,"R","R",13,"576754.00",55,7,"N","2019-08-31"
"144.38","156.72","field_out","field_out","Brandon Montgomery lines out softly to second baseman Leonardo Rivas.  ","Brandon Montgomery","Travis Herrin",2,2,2,"line_drive",5,1,5,1,1,0,"R","R",13,"576754.00",56,7,"N","2019-08-31"
"132.47","189.29","sac_bunt","sac_bunt","Marcus Chiu hits a sacrifice bunt.   Throwing error by pitcher Travis Herrin.   Tre Todd to 3rd.    Marcus Chiu to 2nd.  ","Marcus Chiu","Travis Herrin",0,1,0,"ground_ball",1,0,1,0,1,0,"R","R",13,"576754.00",19,3,"N","2019-08-31"
,,,"strikeout","Jeren Kendall strikes out swinging.  ","Jeren Kendall","Connor Higgins",2,0,2,,5,3,3,5,0,0,"L","L",13,"576753.00",77,9,"N","2019-08-30"
"127.70","80.46","field_out","field_out","Garrett Hope flies out to center fielder Jordyn Adams.  ","Garrett Hope","Kyle Bradish",2,2,1,"fly_ball",4,1,4,1,1,0,"R","R",13,"576753.00",36,4,"N","2019-08-30"
"33.17","71.72","home_run","home_run","Starling Heredia homers (10) on a line drive to left field.  ","Starling Heredia","Connor Higgins",2,2,0,"line_drive",5,2,5,3,1,1,"R","L",13,"576753.00",75,9,"N","2019-08-30"
